run,n_features,RMSE,MAE,R2,PI_alpha,PI_coverage,PI_mean_width,best_params,feature_matrices_used,n_egemaps_selected,n_whisper_selected,selected_features,top_5_perm_importance
mean_predictor,0,8.564004675741408,7.965309200603317,-0.03960015378700499,0.05,0.9230769230769231,27.64705882352941,{},[],0,0,[],[]
egemaps_only,88,7.458627504329094,6.028733974991586,0.21144792246139799,0.05,0.9423076923076923,26.94341931829317,"{""svr__C"": 100, ""svr__epsilon"": 0.1, ""svr__gamma"": ""scale""}","[""egemaps""]",59,0,"[""F0semitoneFrom27.5Hz_sma3nz_amean"", ""F0semitoneFrom27.5Hz_sma3nz_stddevNorm"", ""F0semitoneFrom27.5Hz_sma3nz_percentile50.0"", ""F0semitoneFrom27.5Hz_sma3nz_percentile80.0"", ""F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2"", ""F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope"", ""F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope"", ""loudness_sma3_stddevNorm"", ""loudness_sma3_percentile20.0"", ""loudness_sma3_pctlrange0-2"", ""loudness_sma3_meanRisingSlope"", ""loudness_sma3_meanFallingSlope"", ""spectralFlux_sma3_amean"", ""mfcc1_sma3_stddevNorm"", ""mfcc3_sma3_amean"", ""mfcc3_sma3_stddevNorm"", ""mfcc4_sma3_amean"", ""mfcc4_sma3_stddevNorm"", ""jitterLocal_sma3nz_amean"", ""shimmerLocaldB_sma3nz_amean"", ""shimmerLocaldB_sma3nz_stddevNorm"", ""HNRdBACF_sma3nz_amean"", ""HNRdBACF_sma3nz_stddevNorm"", ""logRelF0-H1-H2_sma3nz_amean"", ""logRelF0-H1-H2_sma3nz_stddevNorm"", ""logRelF0-H1-A3_sma3nz_amean"", ""logRelF0-H1-A3_sma3nz_stddevNorm"", ""F1frequency_sma3nz_amean"", ""F1frequency_sma3nz_stddevNorm"", ""F1bandwidth_sma3nz_amean"", ""F1bandwidth_sma3nz_stddevNorm"", ""F1amplitudeLogRelF0_sma3nz_amean"", ""F1amplitudeLogRelF0_sma3nz_stddevNorm"", ""F2amplitudeLogRelF0_sma3nz_amean"", ""F2amplitudeLogRelF0_sma3nz_stddevNorm"", ""F3frequency_sma3nz_stddevNorm"", ""F3bandwidth_sma3nz_amean"", ""F3bandwidth_sma3nz_stddevNorm"", ""F3amplitudeLogRelF0_sma3nz_amean"", ""alphaRatioV_sma3nz_amean"", ""alphaRatioV_sma3nz_stddevNorm"", ""hammarbergIndexV_sma3nz_amean"", ""slopeV0-500_sma3nz_amean"", ""slopeV500-1500_sma3nz_amean"", ""slopeV500-1500_sma3nz_stddevNorm"", ""spectralFluxV_sma3nz_amean"", ""mfcc2V_sma3nz_stddevNorm"", ""mfcc3V_sma3nz_amean"", ""mfcc3V_sma3nz_stddevNorm"", ""mfcc4V_sma3nz_amean"", ""mfcc4V_sma3nz_stddevNorm"", ""alphaRatioUV_sma3nz_amean"", ""hammarbergIndexUV_sma3nz_amean"", ""slopeUV0-500_sma3nz_amean"", ""slopeUV500-1500_sma3nz_amean"", ""spectralFluxUV_sma3nz_amean"", ""MeanVoicedSegmentLengthSec"", ""MeanUnvoicedSegmentLength"", ""StddevUnvoicedSegmentLength""]","[{""feature"": ""mfcc4V_sma3nz_amean"", ""perm_imp_mse_increase_train"": 6.94642963259538}, {""feature"": ""slopeUV0-500_sma3nz_amean"", ""perm_imp_mse_increase_train"": 6.234264917631079}, {""feature"": ""HNRdBACF_sma3nz_amean"", ""perm_imp_mse_increase_train"": 5.279554739888652}, {""feature"": ""alphaRatioV_sma3nz_stddevNorm"", ""perm_imp_mse_increase_train"": 2.7525847063732605}, {""feature"": ""slopeUV500-1500_sma3nz_amean"", ""perm_imp_mse_increase_train"": 2.53876426837895}]"
whisper_only,16,7.984107111967978,6.724019387881634,0.09642282266990387,0.05,0.9423076923076923,28.193440862832656,"{""svr__C"": 10, ""svr__epsilon"": 2.0, ""svr__gamma"": ""auto""}","[""whisper""]",0,15,"[""whisper__lex_first_person_sg_rate"", ""whisper__lex_first_person_pl_rate"", ""whisper__lex_negation_rate"", ""whisper__lex_ttr"", ""whisper__lex_mattr50"", ""whisper__syn_mean_tokens_per_sent"", ""whisper__syn_sd_tokens_per_sent"", ""whisper__syn_punct_density"", ""whisper__sent_le_rate"", ""whisper__sent_hao_rate"", ""whisper__sent_nu_rate"", ""whisper__sent_ai_rate"", ""whisper__sent_ju_rate"", ""whisper__sent_jing_rate"", ""whisper__sent_net_polarity""]","[{""feature"": ""whisper__lex_negation_rate"", ""perm_imp_mse_increase_train"": 11.571700942323579}, {""feature"": ""whisper__sent_net_polarity"", ""perm_imp_mse_increase_train"": 11.036225355574981}, {""feature"": ""whisper__syn_sd_tokens_per_sent"", ""perm_imp_mse_increase_train"": 7.23373868990483}, {""feature"": ""whisper__sent_le_rate"", ""perm_imp_mse_increase_train"": 7.039501496607298}, {""feature"": ""whisper__syn_punct_density"", ""perm_imp_mse_increase_train"": 6.49749304777758}]"
egemaps_demo,91,6.8906032295731015,5.594517130072166,0.32698145660605893,0.05,0.9423076923076923,25.710337241647935,"{""svr__C"": 100, ""svr__epsilon"": 0.1, ""svr__gamma"": ""scale""}","[""egemaps"", ""demo""]",52,0,"[""F0semitoneFrom27.5Hz_sma3nz_stddevNorm"", ""F0semitoneFrom27.5Hz_sma3nz_percentile50.0"", ""F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope"", ""loudness_sma3_stddevNorm"", ""loudness_sma3_percentile20.0"", ""loudness_sma3_percentile80.0"", ""loudness_sma3_pctlrange0-2"", ""loudness_sma3_meanRisingSlope"", ""spectralFlux_sma3_amean"", ""mfcc1_sma3_amean"", ""mfcc1_sma3_stddevNorm"", ""mfcc2_sma3_stddevNorm"", ""mfcc3_sma3_amean"", ""mfcc3_sma3_stddevNorm"", ""mfcc4_sma3_stddevNorm"", ""jitterLocal_sma3nz_amean"", ""shimmerLocaldB_sma3nz_amean"", ""shimmerLocaldB_sma3nz_stddevNorm"", ""HNRdBACF_sma3nz_amean"", ""HNRdBACF_sma3nz_stddevNorm"", ""logRelF0-H1-H2_sma3nz_amean"", ""logRelF0-H1-H2_sma3nz_stddevNorm"", ""logRelF0-H1-A3_sma3nz_amean"", ""logRelF0-H1-A3_sma3nz_stddevNorm"", ""F1frequency_sma3nz_stddevNorm"", ""F1bandwidth_sma3nz_amean"", ""F1bandwidth_sma3nz_stddevNorm"", ""F1amplitudeLogRelF0_sma3nz_amean"", ""F1amplitudeLogRelF0_sma3nz_stddevNorm"", ""F2frequency_sma3nz_stddevNorm"", ""F3frequency_sma3nz_stddevNorm"", ""F3bandwidth_sma3nz_amean"", ""F3bandwidth_sma3nz_stddevNorm"", ""alphaRatioV_sma3nz_amean"", ""alphaRatioV_sma3nz_stddevNorm"", ""hammarbergIndexV_sma3nz_stddevNorm"", ""slopeV0-500_sma3nz_amean"", ""slopeV500-1500_sma3nz_amean"", ""slopeV500-1500_sma3nz_stddevNorm"", ""mfcc2V_sma3nz_amean"", ""mfcc2V_sma3nz_stddevNorm"", ""mfcc3V_sma3nz_amean"", ""mfcc3V_sma3nz_stddevNorm"", ""mfcc4V_sma3nz_amean"", ""mfcc4V_sma3nz_stddevNorm"", ""slopeUV0-500_sma3nz_amean"", ""slopeUV500-1500_sma3nz_amean"", ""spectralFluxUV_sma3nz_amean"", ""loudnessPeaksPerSec"", ""MeanVoicedSegmentLengthSec"", ""StddevVoicedSegmentLengthSec"", ""MeanUnvoicedSegmentLength"", ""demo__age"", ""demo__gender_M"", ""demo__edu_years""]","[{""feature"": ""demo__edu_years"", ""perm_imp_mse_increase_train"": 11.821409029851639}, {""feature"": ""slopeUV0-500_sma3nz_amean"", ""perm_imp_mse_increase_train"": 5.043118319113422}, {""feature"": ""demo__age"", ""perm_imp_mse_increase_train"": 3.629619855203804}, {""feature"": ""mfcc4V_sma3nz_amean"", ""perm_imp_mse_increase_train"": 2.9227497171318477}, {""feature"": ""HNRdBACF_sma3nz_amean"", ""perm_imp_mse_increase_train"": 2.824911865929014}]"
whisper_demo,19,7.640944454898011,6.488178617221964,0.17242639836702955,0.05,0.9423076923076923,25.091170206640903,"{""svr__C"": 10, ""svr__epsilon"": 0.1, ""svr__gamma"": ""scale""}","[""whisper"", ""demo""]",0,15,"[""whisper__lex_first_person_sg_rate"", ""whisper__lex_first_person_pl_rate"", ""whisper__lex_negation_rate"", ""whisper__lex_ttr"", ""whisper__lex_mattr50"", ""whisper__syn_mean_tokens_per_sent"", ""whisper__syn_sd_tokens_per_sent"", ""whisper__syn_punct_density"", ""whisper__sent_le_rate"", ""whisper__sent_hao_rate"", ""whisper__sent_nu_rate"", ""whisper__sent_ai_rate"", ""whisper__sent_ju_rate"", ""whisper__sent_jing_rate"", ""whisper__sent_net_polarity"", ""demo__age"", ""demo__gender_M"", ""demo__edu_years""]","[{""feature"": ""demo__edu_years"", ""perm_imp_mse_increase_train"": 17.009526032342972}, {""feature"": ""whisper__sent_net_polarity"", ""perm_imp_mse_increase_train"": 7.612060239495468}, {""feature"": ""whisper__lex_negation_rate"", ""perm_imp_mse_increase_train"": 6.851582992266536}, {""feature"": ""whisper__syn_sd_tokens_per_sent"", ""perm_imp_mse_increase_train"": 5.36345386406996}, {""feature"": ""whisper__sent_le_rate"", ""perm_imp_mse_increase_train"": 4.905641473903651}]"
egemaps_whisper,104,7.374317923754362,6.132829431742801,0.22917417251251293,0.05,0.9423076923076923,27.624299264926663,"{""svr__C"": 100, ""svr__epsilon"": 0.1, ""svr__gamma"": ""scale""}","[""egemaps"", ""whisper""]",44,12,"[""F0semitoneFrom27.5Hz_sma3nz_stddevNorm"", ""F0semitoneFrom27.5Hz_sma3nz_percentile50.0"", ""F0semitoneFrom27.5Hz_sma3nz_percentile80.0"", ""F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2"", ""F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope"", ""F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope"", ""loudness_sma3_stddevNorm"", ""loudness_sma3_percentile20.0"", ""loudness_sma3_percentile50.0"", ""spectralFlux_sma3_stddevNorm"", ""mfcc1_sma3_stddevNorm"", ""mfcc3_sma3_stddevNorm"", ""mfcc4_sma3_stddevNorm"", ""shimmerLocaldB_sma3nz_amean"", ""shimmerLocaldB_sma3nz_stddevNorm"", ""HNRdBACF_sma3nz_amean"", ""logRelF0-H1-H2_sma3nz_amean"", ""logRelF0-H1-H2_sma3nz_stddevNorm"", ""logRelF0-H1-A3_sma3nz_amean"", ""F1frequency_sma3nz_stddevNorm"", ""F1amplitudeLogRelF0_sma3nz_amean"", ""F1amplitudeLogRelF0_sma3nz_stddevNorm"", ""F2amplitudeLogRelF0_sma3nz_amean"", ""F2amplitudeLogRelF0_sma3nz_stddevNorm"", ""F3frequency_sma3nz_stddevNorm"", ""F3bandwidth_sma3nz_amean"", ""F3bandwidth_sma3nz_stddevNorm"", ""F3amplitudeLogRelF0_sma3nz_amean"", ""slopeV0-500_sma3nz_amean"", ""slopeV500-1500_sma3nz_amean"", ""slopeV500-1500_sma3nz_stddevNorm"", ""mfcc1V_sma3nz_stddevNorm"", ""mfcc2V_sma3nz_amean"", ""mfcc3V_sma3nz_amean"", ""mfcc3V_sma3nz_stddevNorm"", ""mfcc4V_sma3nz_amean"", ""mfcc4V_sma3nz_stddevNorm"", ""alphaRatioUV_sma3nz_amean"", ""hammarbergIndexUV_sma3nz_amean"", ""slopeUV0-500_sma3nz_amean"", ""slopeUV500-1500_sma3nz_amean"", ""loudnessPeaksPerSec"", ""MeanVoicedSegmentLengthSec"", ""StddevVoicedSegmentLengthSec"", ""whisper__lex_first_person_pl_rate"", ""whisper__lex_negation_rate"", ""whisper__lex_ttr"", ""whisper__lex_mattr50"", ""whisper__syn_sd_tokens_per_sent"", ""whisper__syn_punct_density"", ""whisper__sent_le_rate"", ""whisper__sent_nu_rate"", ""whisper__sent_ai_rate"", ""whisper__sent_ju_rate"", ""whisper__sent_jing_rate"", ""whisper__sent_net_polarity""]","[{""feature"": ""whisper__sent_net_polarity"", ""perm_imp_mse_increase_train"": 4.155629126646113}, {""feature"": ""HNRdBACF_sma3nz_amean"", ""perm_imp_mse_increase_train"": 2.6118856686405927}, {""feature"": ""whisper__sent_le_rate"", ""perm_imp_mse_increase_train"": 2.5063895695802736}, {""feature"": ""whisper__syn_punct_density"", ""perm_imp_mse_increase_train"": 2.165929433980451}, {""feature"": ""whisper__sent_jing_rate"", ""perm_imp_mse_increase_train"": 2.151512333341792}]"
egemaps_whisper_demo,107,6.810322810444169,5.662865551060547,0.34257238930106226,0.05,0.9423076923076923,26.609705964214307,"{""svr__C"": 100, ""svr__epsilon"": 0.1, ""svr__gamma"": ""scale""}","[""egemaps"", ""whisper"", ""demo""]",31,11,"[""F0semitoneFrom27.5Hz_sma3nz_stddevNorm"", ""F0semitoneFrom27.5Hz_sma3nz_percentile50.0"", ""F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope"", ""F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope"", ""loudness_sma3_stddevNorm"", ""loudness_sma3_percentile20.0"", ""loudness_sma3_percentile50.0"", ""mfcc1_sma3_stddevNorm"", ""mfcc2_sma3_stddevNorm"", ""mfcc4_sma3_stddevNorm"", ""shimmerLocaldB_sma3nz_amean"", ""shimmerLocaldB_sma3nz_stddevNorm"", ""HNRdBACF_sma3nz_amean"", ""logRelF0-H1-H2_sma3nz_amean"", ""logRelF0-H1-H2_sma3nz_stddevNorm"", ""logRelF0-H1-A3_sma3nz_amean"", ""F1frequency_sma3nz_stddevNorm"", ""F3frequency_sma3nz_stddevNorm"", ""slopeV0-500_sma3nz_amean"", ""slopeV500-1500_sma3nz_amean"", ""slopeV500-1500_sma3nz_stddevNorm"", ""mfcc2V_sma3nz_amean"", ""mfcc3V_sma3nz_amean"", ""mfcc3V_sma3nz_stddevNorm"", ""mfcc4V_sma3nz_amean"", ""mfcc4V_sma3nz_stddevNorm"", ""slopeUV0-500_sma3nz_amean"", ""slopeUV500-1500_sma3nz_amean"", ""MeanVoicedSegmentLengthSec"", ""StddevVoicedSegmentLengthSec"", ""MeanUnvoicedSegmentLength"", ""whisper__lex_first_person_sg_rate"", ""whisper__lex_ttr"", ""whisper__lex_mattr50"", ""whisper__syn_sd_tokens_per_sent"", ""whisper__syn_punct_density"", ""whisper__sent_le_rate"", ""whisper__sent_nu_rate"", ""whisper__sent_ai_rate"", ""whisper__sent_ju_rate"", ""whisper__sent_jing_rate"", ""whisper__sent_net_polarity"", ""demo__age"", ""demo__edu_years""]","[{""feature"": ""demo__edu_years"", ""perm_imp_mse_increase_train"": 6.852632724945744}, {""feature"": ""whisper__sent_net_polarity"", ""perm_imp_mse_increase_train"": 3.9736745280033823}, {""feature"": ""HNRdBACF_sma3nz_amean"", ""perm_imp_mse_increase_train"": 2.5310033920129094}, {""feature"": ""whisper__lex_mattr50"", ""perm_imp_mse_increase_train"": 2.331356024791723}, {""feature"": ""whisper__sent_le_rate"", ""perm_imp_mse_increase_train"": 2.057381859591525}]"
egemaps_interview_only,88,7.947278385733839,6.904953608728612,0.1047395562351584,0.05,0.9230769230769231,26.84451908856109,"{""svr__C"": 100, ""svr__epsilon"": 2.0, ""svr__gamma"": ""auto""}","[""egemaps_task_interview""]",50,0,"[""F0semitoneFrom27.5Hz_sma3nz_amean"", ""F0semitoneFrom27.5Hz_sma3nz_stddevNorm"", ""F0semitoneFrom27.5Hz_sma3nz_percentile20.0"", ""F0semitoneFrom27.5Hz_sma3nz_percentile50.0"", ""F0semitoneFrom27.5Hz_sma3nz_percentile80.0"", ""F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope"", ""F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope"", ""loudness_sma3_stddevNorm"", ""loudness_sma3_percentile50.0"", ""loudness_sma3_percentile80.0"", ""loudness_sma3_pctlrange0-2"", ""loudness_sma3_stddevFallingSlope"", ""spectralFlux_sma3_amean"", ""mfcc1_sma3_amean"", ""mfcc1_sma3_stddevNorm"", ""mfcc2_sma3_amean"", ""mfcc3_sma3_stddevNorm"", ""jitterLocal_sma3nz_amean"", ""jitterLocal_sma3nz_stddevNorm"", ""shimmerLocaldB_sma3nz_amean"", ""shimmerLocaldB_sma3nz_stddevNorm"", ""HNRdBACF_sma3nz_amean"", ""HNRdBACF_sma3nz_stddevNorm"", ""logRelF0-H1-H2_sma3nz_amean"", ""logRelF0-H1-H2_sma3nz_stddevNorm"", ""logRelF0-H1-A3_sma3nz_amean"", ""logRelF0-H1-A3_sma3nz_stddevNorm"", ""F1frequency_sma3nz_stddevNorm"", ""F1amplitudeLogRelF0_sma3nz_amean"", ""F1amplitudeLogRelF0_sma3nz_stddevNorm"", ""F2bandwidth_sma3nz_stddevNorm"", ""F2amplitudeLogRelF0_sma3nz_amean"", ""F2amplitudeLogRelF0_sma3nz_stddevNorm"", ""F3frequency_sma3nz_stddevNorm"", ""F3bandwidth_sma3nz_amean"", ""F3amplitudeLogRelF0_sma3nz_amean"", ""slopeV0-500_sma3nz_amean"", ""slopeV0-500_sma3nz_stddevNorm"", ""slopeV500-1500_sma3nz_amean"", ""slopeV500-1500_sma3nz_stddevNorm"", ""spectralFluxV_sma3nz_amean"", ""mfcc2V_sma3nz_stddevNorm"", ""mfcc3V_sma3nz_amean"", ""mfcc3V_sma3nz_stddevNorm"", ""mfcc4V_sma3nz_amean"", ""hammarbergIndexUV_sma3nz_amean"", ""slopeUV0-500_sma3nz_amean"", ""slopeUV500-1500_sma3nz_amean"", ""MeanVoicedSegmentLengthSec"", ""MeanUnvoicedSegmentLength""]","[{""feature"": ""slopeUV500-1500_sma3nz_amean"", ""perm_imp_mse_increase_train"": 3.8293907596665706}, {""feature"": ""logRelF0-H1-H2_sma3nz_amean"", ""perm_imp_mse_increase_train"": 3.669292304521522}, {""feature"": ""mfcc2V_sma3nz_stddevNorm"", ""perm_imp_mse_increase_train"": 3.6463166514306584}, {""feature"": ""slopeV0-500_sma3nz_amean"", ""perm_imp_mse_increase_train"": 3.582574761016999}, {""feature"": ""logRelF0-H1-A3_sma3nz_amean"", ""perm_imp_mse_increase_train"": 3.5616002809452403}]"
whisper_interview_only,16,8.760292697798986,7.512018436584904,-0.0878018112558625,0.05,0.9230769230769231,32.68672102027833,"{""svr__C"": 10, ""svr__epsilon"": 2.0, ""svr__gamma"": ""scale""}","[""whisper_task_interview""]",0,16,"[""whisper_task_interview__lex_first_person_sg_rate"", ""whisper_task_interview__lex_first_person_pl_rate"", ""whisper_task_interview__lex_negation_rate"", ""whisper_task_interview__lex_ttr"", ""whisper_task_interview__lex_mattr50"", ""whisper_task_interview__syn_mean_tokens_per_sent"", ""whisper_task_interview__syn_sd_tokens_per_sent"", ""whisper_task_interview__syn_punct_density"", ""whisper_task_interview__sent_le_rate"", ""whisper_task_interview__sent_hao_rate"", ""whisper_task_interview__sent_nu_rate"", ""whisper_task_interview__sent_ai_rate"", ""whisper_task_interview__sent_ju_rate"", ""whisper_task_interview__sent_e_rate"", ""whisper_task_interview__sent_jing_rate"", ""whisper_task_interview__sent_net_polarity""]","[{""feature"": ""whisper_task_interview__lex_mattr50"", ""perm_imp_mse_increase_train"": 9.78600701144695}, {""feature"": ""whisper_task_interview__lex_negation_rate"", ""perm_imp_mse_increase_train"": 8.521128305886885}, {""feature"": ""whisper_task_interview__sent_ai_rate"", ""perm_imp_mse_increase_train"": 6.688515002024772}, {""feature"": ""whisper_task_interview__syn_sd_tokens_per_sent"", ""perm_imp_mse_increase_train"": 6.339500731946815}, {""feature"": ""whisper_task_interview__lex_first_person_sg_rate"", ""perm_imp_mse_increase_train"": 5.7717726436005306}]"
egemaps_passage_reading_only,88,8.178678453232198,7.092150750561057,0.05184615215398214,0.05,0.9423076923076923,27.70908650387579,"{""svr__C"": 10, ""svr__epsilon"": 2.0, ""svr__gamma"": ""scale""}","[""egemaps_task_passage_reading""]",50,0,"[""F0semitoneFrom27.5Hz_sma3nz_stddevNorm"", ""F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2"", ""F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope"", ""F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope"", ""F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope"", ""loudness_sma3_percentile20.0"", ""loudness_sma3_percentile80.0"", ""spectralFlux_sma3_amean"", ""spectralFlux_sma3_stddevNorm"", ""mfcc1_sma3_amean"", ""mfcc1_sma3_stddevNorm"", ""mfcc2_sma3_stddevNorm"", ""mfcc3_sma3_amean"", ""mfcc4_sma3_stddevNorm"", ""jitterLocal_sma3nz_stddevNorm"", ""shimmerLocaldB_sma3nz_amean"", ""shimmerLocaldB_sma3nz_stddevNorm"", ""HNRdBACF_sma3nz_amean"", ""HNRdBACF_sma3nz_stddevNorm"", ""logRelF0-H1-H2_sma3nz_amean"", ""logRelF0-H1-H2_sma3nz_stddevNorm"", ""logRelF0-H1-A3_sma3nz_amean"", ""logRelF0-H1-A3_sma3nz_stddevNorm"", ""F1frequency_sma3nz_amean"", ""F1frequency_sma3nz_stddevNorm"", ""F1amplitudeLogRelF0_sma3nz_amean"", ""F2bandwidth_sma3nz_amean"", ""F3frequency_sma3nz_stddevNorm"", ""F3bandwidth_sma3nz_amean"", ""F3bandwidth_sma3nz_stddevNorm"", ""alphaRatioV_sma3nz_amean"", ""alphaRatioV_sma3nz_stddevNorm"", ""slopeV0-500_sma3nz_amean"", ""slopeV0-500_sma3nz_stddevNorm"", ""slopeV500-1500_sma3nz_amean"", ""slopeV500-1500_sma3nz_stddevNorm"", ""spectralFluxV_sma3nz_amean"", ""spectralFluxV_sma3nz_stddevNorm"", ""mfcc1V_sma3nz_stddevNorm"", ""mfcc2V_sma3nz_amean"", ""mfcc2V_sma3nz_stddevNorm"", ""mfcc3V_sma3nz_amean"", ""mfcc3V_sma3nz_stddevNorm"", ""mfcc4V_sma3nz_amean"", ""mfcc4V_sma3nz_stddevNorm"", ""slopeUV0-500_sma3nz_amean"", ""slopeUV500-1500_sma3nz_amean"", ""spectralFluxUV_sma3nz_amean"", ""loudnessPeaksPerSec"", ""MeanVoicedSegmentLengthSec""]","[{""feature"": ""HNRdBACF_sma3nz_stddevNorm"", ""perm_imp_mse_increase_train"": 4.173873231193367}, {""feature"": ""spectralFluxUV_sma3nz_amean"", ""perm_imp_mse_increase_train"": 3.593034631569779}, {""feature"": ""slopeUV0-500_sma3nz_amean"", ""perm_imp_mse_increase_train"": 3.0026615812553645}, {""feature"": ""mfcc4V_sma3nz_amean"", ""perm_imp_mse_increase_train"": 2.956465974689317}, {""feature"": ""slopeV0-500_sma3nz_stddevNorm"", ""perm_imp_mse_increase_train"": 2.581621231120775}]"
