subject_id,file_number,severity,source,notes
02010001,9,exclude,whisper_substitution,"v1 produced ""這是Baba一個沒絕的"" -- Whisper inserted English ""Baba"" into a short interview-neutral audio segment; v3 re-extraction (float32 + higher-T fallback, VAD on, no prompt) yielded byte-identical output, confirming Whisper deterministically hears this audio as ""Baba"" regardless of decoding parameters; drop from text-feature analyses (acoustic features OK)"
02010004,24,exclude,disk_missing,Audio wav unreadable; no openSMILE outputs (func/lld) and no Whisper transcripts on disk
02010004,25,exclude,disk_missing,Audio wav unreadable; no openSMILE outputs (func/lld) and no Whisper transcripts on disk
02010004,26,exclude,disk_missing,Audio wav unreadable; no openSMILE outputs (func/lld) and no Whisper transcripts on disk
02010004,27,exclude,disk_missing,Audio wav unreadable; no openSMILE outputs (func/lld) and no Whisper transcripts on disk
02010004,28,exclude,disk_missing,Audio wav unreadable; no openSMILE outputs (func/lld) and no Whisper transcripts on disk
02010011,2,exclude,whisper_empty,Whisper produced empty transcript on quiet audio; v2 re-extraction (--no-vad + --initial-prompt) yielded subscribe-button hallucination; drop from text-feature analyses (acoustic features OK)
02010011,3,exclude,whisper_empty,Whisper produced empty transcript on quiet audio; v2 re-extraction yielded subscribe-button hallucination; drop from text-feature analyses (acoustic features OK)
02010011,4,exclude,whisper_unintelligible,"v1 produced multilingual garble ""每每每每每的명 The name of captivne showing 一个人的形象出了图"" (Korean character 명, English fragment ""The name of captivne showing"", residual Chinese, leading 5x 每 character run); v3 re-extraction (float32 + higher-T fallback) regressed to ""每每每每每每每每每每每每每 некоторые人就是特别无可避免"" (13x 每 run, Russian token некоторые); audio is unintelligible to Whisper across all attempted parameter sets; drop from text-feature analyses (acoustic features OK)"
02010011,14,exclude,whisper_empty,"Whisper produced empty transcript on quiet audio; v2 re-extraction yielded subscribe-channel hallucination ""出镜需要您的支持 欢迎订阅我的频道""; drop from text-feature analyses (acoustic features OK)"
02010022,6,exclude,whisper_empty,Whisper produced empty transcript on quiet audio; v2 re-extraction yielded prompt-echo hallucination; drop from text-feature analyses (acoustic features OK)
02010022,15,exclude,whisper_unintelligible,"v1 produced a repetition loop (""我们的秘义是什么?"" x3 -- 秘义 is not a standard Chinese word); v2 re-extraction (float32 + higher-T fallback) yielded different incoherent text (""迷逝了"" x3 + nonsense fragments) that passes audit by accident; both versions are Whisper hallucinations on unintelligible audio; drop from text-feature analyses (acoustic features OK)"
02010025,7,exclude,whisper_empty,Whisper produced empty transcript on quiet audio; v2 re-extraction yielded subscribe-button hallucination; drop from text-feature analyses (acoustic features OK)
